Campaign_ID,Brand_Name,Influencer_Name,Influencer_Platform,Follower_Count,Post_Date,Post_Type,Likes,Comments,Shares,Views,Engagement_Rate,Product_Name,Sales_Before_Campaign,Sales_After_Campaign,Campaign_Cost,Revenue_Generated,ROI
34,Nykaa,Influencer_120,YouTube,956529,04-03-2025,Reel,49005,909,3758,172105,31.19,Protein,2828,5722,2233,17118,666.59
35,Adidas,Influencer_82,YouTube,437705,21-02-2025,Reel,37015,1991,4620,44617,97.78,Headphones,4521,6618,1952,5476,180.53
36,Nike,Influencer_69,Instagram,431621,01-06-2025,Reel,19888,486,817,110948,19.1,Watch,3924,6825,14644,30844,110.63
37,Adidas,Influencer_18,Instagram,771735,26-04-2025,Reel,29724,284,2874,127683,25.75,Headphones,2151,2577,13964,33389,139.11
38,Boat,Influencer_16,TikTok,125750,11-06-2025,Post,10208,807,3959,33994,44.05,Watch,4279,4882,16084,43233,168.8
39,Samsung,Influencer_13,TikTok,678331,24-04-2025,Reel,24573,1466,2052,50666,55.44,Watch,4658,6276,12519,18550,48.17
40,Mamaearth,Influencer_32,Instagram,694618,16-01-2025,Story,5218,1803,2433,131939,7.17,Watch,3883,6839,1139,14459,1169.45
41,Adidas,Influencer_44,YouTube,727469,08-01-2025,Video,11183,1478,1779,37638,38.37,Watch,2032,4442,17483,36397,108.19
42,Adidas,Influencer_68,Instagram,698613,14-03-2025,Post,5916,107,2632,70009,12.36,Watch,4208,6451,14766,6229,-57.82
43,Mamaearth,Influencer_82,Instagram,60030,26-02-2025,Reel,46079,1823,3163,39062,130.73,Smartphone,1694,3575,10073,15273,51.62
44,Adidas,Influencer_60,YouTube,402982,28-03-2025,Reel,28246,1185,4340,191386,17.65,Watch,1954,3714,3843,42140,996.54
45,Nykaa,Influencer_69,YouTube,499338,29-05-2025,Reel,28172,108,4086,15221,212.64,Cosmetics,2827,4602,12640,35980,184.65
46,Nykaa,Influencer_95,TikTok,57177,11-03-2025,Video,14851,1267,4231,21357,95.28,Shoes,3536,3802,18432,21422,16.22
47,Mamaearth,Influencer_94,TikTok,415284,11-05-2025,Story,49200,528,1779,92524,55.67,Smartphone,1752,2877,15330,33587,119.09
48,Nike,Influencer_30,YouTube,650011,29-01-2025,Post,38935,1026,2982,175239,24.51,Cosmetics,4602,7389,16549,46428,180.55
49,Mamaearth,Influencer_98,Instagram,567130,02-04-2025,Story,33330,849,302,180901,19.06,Protein,1877,2921,6786,8658,27.59
50,Mamaearth,Influencer_89,YouTube,469023,15-01-2025,Video,48151,1064,2667,25489,203.55,Cosmetics,3802,6375,12563,28037,123.17
51,Boat,Influencer_50,Instagram,883608,09-06-2025,Video,26574,1983,3340,99357,32.1,Watch,3608,4512,18474,27715,50.02
52,Mamaearth,Influencer_40,Instagram,167195,29-06-2025,Video,37976,1035,4414,199697,21.75,Headphones,4337,7155,13745,43875,219.21
53,Mamaearth,Influencer_72,TikTok,500195,24-03-2025,Reel,33580,1974,1093,13018,281.51,Smartphone,3112,4184,13759,44960,226.77
54,Adidas,Influencer_83,YouTube,797256,10-04-2025,Video,33838,374,2961,172708,21.52,Headphones,2718,4868,5260,8322,58.21
55,Mamaearth,Influencer_51,Instagram,903387,08-03-2025,Video,7531,826,2319,31633,33.75,Protein,4852,5225,15367,5479,-64.35
56,Samsung,Influencer_64,Instagram,480321,13-03-2025,Post,9533,1170,1247,37104,32.21,Cosmetics,4038,5758,11772,7520,-36.12
57,Adidas,Influencer_21,Instagram,761981,27-06-2025,Post,10589,1800,522,188803,6.84,Shoes,4428,5971,3632,42780,1077.86
58,Mamaearth,Influencer_33,YouTube,791464,27-01-2025,Reel,10283,1480,2731,49404,29.34,Protein,2592,4553,18020,15681,-12.98
59,Mamaearth,Influencer_27,YouTube,426421,17-04-2025,Reel,13889,932,3095,11264,159.06,Cosmetics,4920,7799,11473,46863,308.46
60,Boat,Influencer_112,YouTube,834072,22-05-2025,Post,4686,654,3317,63266,13.68,Headphones,4618,7558,8384,26860,220.37
61,Adidas,Influencer_77,YouTube,301146,05-02-2025,Reel,19856,849,1786,153068,14.69,Smartphone,2469,4001,4357,12912,196.35
62,Nike,Influencer_94,Instagram,83485,30-06-2025,Reel,20062,1463,2394,39159,61.08,Protein,4898,7693,1368,39832,2811.7
63,Samsung,Influencer_90,TikTok,475912,17-06-2025,Post,13014,316,24,127270,10.49,Headphones,2024,4660,1775,28744,1519.38
64,Mamaearth,Influencer_58,TikTok,761205,29-06-2025,Reel,36369,862,1256,142726,26.97,Headphones,4128,4466,14766,44287,199.93
65,Mamaearth,Influencer_79,Instagram,14521,13-04-2025,Video,47094,1400,2965,20126,255.68,Shoes,4151,5920,10565,46691,341.94
66,Adidas,Influencer_100,Instagram,480192,17-02-2025,Reel,41014,1605,4094,66347,70.41,Headphones,1263,3403,7873,34035,332.3
67,Samsung,Influencer_5,TikTok,489388,10-01-2025,Story,26155,1999,1270,179585,16.38,Watch,2520,2868,3047,43154,1316.28
68,Nykaa,Influencer_55,YouTube,665221,14-05-2025,Video,14352,168,2217,132313,12.65,Shoes,2736,4341,4448,38454,764.52
69,Boat,Influencer_85,YouTube,240509,16-06-2025,Reel,41291,1688,1280,82653,53.55,Watch,2162,2982,18032,22860,26.77
70,Nykaa,Influencer_55,YouTube,501868,26-03-2025,Video,13116,811,4984,24609,76.85,Protein,3355,6086,9566,28455,197.46
71,Nike,Influencer_115,YouTube,977188,25-04-2025,Story,46718,1288,1859,194806,25.6,Cosmetics,4962,7722,14627,10039,-31.37
72,Samsung,Influencer_34,Instagram,120431,13-03-2025,Reel,37838,813,2283,124429,32.9,Watch,2141,3409,10388,13309,28.12
73,Nykaa,Influencer_37,TikTok,648563,26-06-2025,Post,39490,1337,2100,149258,28.76,Protein,4229,5473,16528,27724,67.74
74,Nykaa,Influencer_11,YouTube,837593,24-06-2025,Post,15094,1962,3902,178598,11.73,Watch,1190,1475,7786,9541,22.54
75,Samsung,Influencer_91,TikTok,959939,06-05-2025,Reel,7656,1308,3461,177233,7.01,Headphones,4660,5927,14213,36544,157.12
76,Boat,Influencer_4,Instagram,111287,25-04-2025,Reel,28018,1888,2802,85537,38.24,Shoes,4973,6714,5812,20636,255.06
77,Nike,Influencer_70,TikTok,280042,19-04-2025,Reel,22055,763,1634,125745,19.45,Protein,1776,4137,19226,11039,-42.58
78,Samsung,Influencer_83,YouTube,403875,11-03-2025,Video,15650,359,1718,27599,64.23,Shoes,3472,4775,13372,37081,177.3
79,Nykaa,Influencer_107,YouTube,547761,03-06-2025,Video,38098,1993,1172,91328,45.18,Cosmetics,1658,2668,6504,22329,243.31
80,Nike,Influencer_93,TikTok,413492,30-05-2025,Reel,8505,1013,2647,189705,6.41,Headphones,4848,5626,15096,44018,191.59
81,Nykaa,Influencer_76,Instagram,54147,15-01-2025,Story,5558,1419,4688,69092,16.88,Watch,4945,6734,15273,30133,97.3
82,Boat,Influencer_20,Instagram,518365,25-04-2025,Video,35026,1826,632,149362,25.1,Protein,4404,6124,8167,24385,198.58
83,Adidas,Influencer_24,Instagram,377697,16-03-2025,Post,40068,1690,4793,77769,59.86,Shoes,4219,5038,19102,11558,-39.49
84,Nike,Influencer_88,YouTube,494650,18-04-2025,Video,7391,1090,924,75276,12.49,Smartphone,2365,5198,16383,23321,42.35
85,Boat,Influencer_114,YouTube,531591,17-01-2025,Story,3025,377,880,10543,40.61,Cosmetics,2663,4844,13873,20327,46.52
86,Nike,Influencer_11,TikTok,906379,07-03-2025,Reel,16519,1967,399,128716,14.67,Headphones,2515,5097,13287,28977,118.09
87,Adidas,Influencer_31,TikTok,943328,25-03-2025,Story,49003,1242,314,90744,55.72,Shoes,4074,4503,9557,17079,78.71
88,Samsung,Influencer_60,YouTube,662281,21-02-2025,Reel,24641,1214,4923,191227,16.1,Smartphone,1347,3769,5832,24694,323.42
89,Mamaearth,Influencer_103,Instagram,285434,07-06-2025,Story,8433,516,2760,154817,7.56,Cosmetics,4148,6175,18731,11857,-36.7
90,Nike,Influencer_10,TikTok,633218,16-01-2025,Story,29184,998,4381,69738,49.56,Protein,4371,4595,4604,38473,735.64
91,Mamaearth,Influencer_69,YouTube,264598,11-02-2025,Post,4271,1627,2438,114010,7.31,Headphones,3405,4637,18046,23799,31.88
92,Nike,Influencer_48,YouTube,202470,30-04-2025,Story,20809,1196,1402,119081,19.66,Cosmetics,2744,4851,12538,47681,280.29
93,Adidas,Influencer_39,YouTube,112605,04-03-2025,Post,5784,779,490,49997,14.11,Protein,1404,1903,2138,46033,2053.09
94,Adidas,Influencer_86,TikTok,727721,23-05-2025,Story,38586,1910,4479,111162,40.46,Shoes,2234,4186,15915,20016,25.77
95,Nike,Influencer_100,YouTube,295583,02-02-2025,Reel,34138,1192,94,8122,436.15,Cosmetics,3678,5307,19265,44820,132.65
96,Boat,Influencer_89,TikTok,555837,29-03-2025,Reel,40447,493,1649,130104,32.73,Protein,3436,4265,8469,31342,270.08
97,Mamaearth,Influencer_95,TikTok,891536,12-06-2025,Story,17555,1167,4468,183685,12.62,Protein,2178,3654,12046,30132,150.14
98,Nykaa,Influencer_56,YouTube,388846,17-03-2025,Story,48926,814,3957,48864,109.89,Shoes,3410,3829,9500,34212,260.13
99,Adidas,Influencer_119,Instagram,212347,17-06-2025,Story,4153,944,2612,99591,7.74,Watch,2060,4045,4440,25108,465.5
100,Nike,Influencer_30,Instagram,806805,09-05-2025,Video,7201,521,3059,112181,9.61,Smartphone,1391,1615,19858,38591,94.33
101,Samsung,Influencer_117,TikTok,574165,28-01-2025,Post,45787,712,4005,35871,140.79,Smartphone,1667,4613,9507,39122,311.51
102,Samsung,Influencer_9,Instagram,177877,28-04-2025,Post,13643,364,4279,133982,13.65,Headphones,2249,3646,19380,24075,24.23
103,Boat,Influencer_40,Instagram,787673,23-02-2025,Post,7309,1670,4872,147465,9.39,Watch,4600,5677,7347,24767,237.1
104,Mamaearth,Influencer_115,TikTok,201439,07-06-2025,Post,22222,1237,1601,43223,57.98,Smartphone,3645,6601,4248,47190,1010.88
105,Nykaa,Influencer_44,Instagram,847572,18-01-2025,Reel,23259,734,4175,129704,21.72,Headphones,3475,6350,17715,47611,168.76
106,Boat,Influencer_84,Instagram,456565,21-01-2025,Reel,11078,1854,1633,143446,10.15,Protein,4300,5059,14781,15342,3.8
107,Nykaa,Influencer_49,Instagram,828368,16-05-2025,Story,44887,654,4255,12063,412.8,Smartphone,2961,4306,12734,10051,-21.07
108,Nike,Influencer_44,Instagram,614002,17-04-2025,Post,29746,91,2024,90137,35.35,Watch,4373,6765,4817,12017,149.47
109,Nike,Influencer_120,Instagram,994208,20-05-2025,Post,28099,419,2892,147402,21.31,Smartphone,3510,5725,18699,40008,113.96
110,Nykaa,Influencer_8,YouTube,579720,15-02-2025,Reel,18906,1643,2951,190625,12.33,Headphones,4657,4967,6371,45729,617.77
111,Adidas,Influencer_20,TikTok,237601,13-04-2025,Reel,30910,1167,1874,187573,18.1,Headphones,3947,5106,16025,7198,-55.08
112,Boat,Influencer_40,TikTok,855982,09-06-2025,Post,2168,769,2178,23919,21.38,Shoes,3405,5205,7569,38443,407.9
113,Adidas,Influencer_4,TikTok,473694,28-04-2025,Reel,5569,508,1883,164049,4.85,Headphones,4924,5221,13862,49856,259.66
114,Samsung,Influencer_6,TikTok,504785,30-01-2025,Reel,40161,1496,2714,61606,72.02,Shoes,4203,5311,14249,23884,67.62
115,Boat,Influencer_77,TikTok,101214,26-06-2025,Reel,23821,751,159,198499,12.46,Headphones,3472,4126,11884,47243,297.53
116,Boat,Influencer_88,YouTube,454382,03-06-2025,Post,22632,606,1753,47237,52.91,Protein,1877,2245,10956,19744,80.21
117,Samsung,Influencer_41,Instagram,846984,03-04-2025,Video,1306,950,2094,169729,2.56,Watch,2196,3476,5002,46536,830.35
118,Nike,Influencer_41,YouTube,188592,31-01-2025,Reel,45473,671,1300,60679,78.19,Headphones,3599,5553,13701,17983,31.25
119,Nike,Influencer_7,Instagram,698528,17-05-2025,Reel,30307,1612,2513,189611,18.16,Watch,2103,3080,5920,7293,23.19
120,Mamaearth,Influencer_82,Instagram,623995,11-04-2025,Reel,28384,127,4981,107787,31.07,Protein,1724,4423,12473,24034,92.69
121,Mamaearth,Influencer_10,Instagram,78580,02-06-2025,Post,42407,1609,2136,92139,50.09,Watch,2072,2331,8954,41314,361.4
122,Adidas,Influencer_69,YouTube,741911,02-02-2025,Post,36738,1879,2316,132180,30.97,Smartphone,3464,5304,6036,32940,445.73
123,Boat,Influencer_100,Instagram,120595,12-04-2025,Post,35198,1882,757,20793,181.97,Smartphone,2444,3706,16127,27295,69.25
124,Boat,Influencer_66,TikTok,130748,24-02-2025,Video,12622,161,4655,62008,28.12,Watch,2503,2876,12547,8457,-32.6
125,Samsung,Influencer_18,YouTube,784259,26-01-2025,Video,19524,223,1384,31559,66.96,Smartphone,1609,3176,2379,38976,1538.34
126,Nykaa,Influencer_58,Instagram,601417,30-01-2025,Video,46512,663,4544,160721,32.18,Shoes,2465,3461,12649,22313,76.4
127,Boat,Influencer_96,YouTube,65295,14-05-2025,Video,22586,246,1002,137812,17.29,Watch,4823,5053,10016,23931,138.93
128,Adidas,Influencer_87,YouTube,897374,20-05-2025,Post,36391,925,2190,104329,37.87,Smartphone,2292,3313,8390,11534,37.47
129,Adidas,Influencer_43,YouTube,965705,22-01-2025,Reel,35298,275,2180,140640,26.84,Headphones,1742,2321,6575,44525,577.19
130,Nykaa,Influencer_63,Instagram,864476,17-05-2025,Story,22526,1654,2592,96551,27.73,Shoes,1329,1617,19986,30708,53.65
131,Nike,Influencer_5,TikTok,243689,05-03-2025,Story,6579,1135,741,95750,8.83,Cosmetics,2875,3273,17132,43599,154.49
132,Adidas,Influencer_28,TikTok,541298,30-05-2025,Post,35878,100,1436,84781,44.13,Shoes,1741,1981,13302,30441,128.85
133,Samsung,Influencer_23,YouTube,551203,13-05-2025,Video,22356,1751,1512,160665,15.95,Protein,4435,6638,4935,29242,492.54
134,Samsung,Influencer_106,YouTube,767935,26-03-2025,Video,14464,1107,4043,180302,10.88,Shoes,3458,5322,1472,37271,2432
135,Boat,Influencer_109,YouTube,409970,23-06-2025,Story,14098,1160,4014,97462,19.77,Smartphone,4478,7038,9394,43599,364.12
136,Adidas,Influencer_81,TikTok,333796,18-05-2025,Video,47821,901,280,67866,72.2,Protein,1893,2285,2943,41329,1304.32
137,Mamaearth,Influencer_68,TikTok,217851,07-03-2025,Video,26453,735,4699,62532,50.99,Shoes,2889,5395,5364,26169,387.86
138,Samsung,Influencer_82,YouTube,221755,18-03-2025,Reel,42428,1482,4639,92581,52.44,Protein,4373,5901,13161,44159,235.53
139,Samsung,Influencer_57,TikTok,473112,16-02-2025,Video,47820,1082,3951,82234,64.27,Watch,3724,5198,16987,16168,-4.82
140,Samsung,Influencer_37,Instagram,770117,19-02-2025,Story,24973,1052,3918,69356,43.17,Smartphone,4861,7824,8286,34160,312.26
141,Samsung,Influencer_41,Instagram,892279,21-02-2025,Post,23115,369,4814,62411,45.34,Headphones,4553,7402,3797,5852,54.12
142,Boat,Influencer_120,TikTok,649447,09-01-2025,Video,5389,624,154,65742,9.38,Protein,4673,6932,14371,41734,190.4
143,Adidas,Influencer_27,Instagram,568118,01-04-2025,Video,17179,544,4885,52437,43.11,Shoes,2521,5080,16364,44377,171.19
144,Mamaearth,Influencer_37,Instagram,179351,24-02-2025,Story,34463,1925,4896,99683,41.42,Protein,1022,1797,15713,8270,-47.37
145,Samsung,Influencer_41,Instagram,359440,06-03-2025,Reel,35549,832,2344,177234,21.85,Cosmetics,1743,3604,18492,7744,-58.12
146,Nykaa,Influencer_76,Instagram,878174,10-03-2025,Video,36973,1248,591,190181,20.41,Cosmetics,3391,5373,16930,35589,110.21
147,Nykaa,Influencer_13,YouTube,271480,07-04-2025,Video,39998,1060,62,102269,40.21,Smartphone,2940,4993,15736,36568,132.38
148,Boat,Influencer_11,TikTok,477846,23-01-2025,Post,16279,1522,4646,142323,15.77,Shoes,1949,3227,13968,21152,51.43
149,Mamaearth,Influencer_67,YouTube,242875,10-05-2025,Post,8795,1690,665,175026,6.37,Shoes,4916,5250,3134,49278,1472.37
150,Adidas,Influencer_98,YouTube,131371,25-03-2025,Story,31834,1106,4376,95286,39.16,Smartphone,3953,4238,11876,8351,-29.68
151,Nykaa,Influencer_104,YouTube,134603,03-06-2025,Reel,16457,284,2282,170083,11.18,Cosmetics,4819,5537,2026,17647,771.03
152,Samsung,Influencer_24,Instagram,223348,11-02-2025,Story,25731,878,4363,142401,21.75,Shoes,1363,3570,17529,41146,134.73
153,Nykaa,Influencer_106,Instagram,237803,04-01-2025,Post,33219,612,4857,5720,676.36,Shoes,3688,6180,13761,11141,-19.04
154,Samsung,Influencer_45,YouTube,908795,11-02-2025,Reel,13229,942,4489,55799,33.44,Smartphone,2815,4477,13938,13464,-3.4
155,Nykaa,Influencer_52,Instagram,72255,26-02-2025,Story,37862,526,753,33066,118.37,Shoes,1903,4154,10266,45325,341.51
156,Nykaa,Influencer_41,YouTube,99648,21-05-2025,Video,6184,963,3168,77669,13.28,Headphones,4884,6572,14713,18348,24.71
157,Mamaearth,Influencer_7,Instagram,13451,17-03-2025,Post,33600,359,4375,37132,103.24,Watch,3659,4650,9249,22151,139.5
158,Adidas,Influencer_61,TikTok,658185,27-05-2025,Reel,37586,1624,3160,70195,60.36,Smartphone,1560,2144,18366,34200,86.21
159,Samsung,Influencer_66,TikTok,103905,09-02-2025,Video,14054,175,2201,27609,59.51,Headphones,4165,7107,5130,32292,529.47
160,Nike,Influencer_19,Instagram,973075,18-06-2025,Story,10477,928,3747,55334,27.38,Cosmetics,1046,2161,12769,33543,162.69
161,Samsung,Influencer_8,TikTok,760913,04-03-2025,Post,16620,911,1575,12578,151.9,Headphones,4082,5744,7423,20652,178.22
162,Nykaa,Influencer_54,Instagram,581251,04-05-2025,Video,25627,196,1104,110007,24.48,Protein,1224,2848,12262,12750,3.98
163,Adidas,Influencer_45,YouTube,901525,19-05-2025,Post,37929,615,3479,106655,39.4,Cosmetics,4908,7389,4019,44182,999.33
164,Nike,Influencer_80,Instagram,462542,18-04-2025,Post,36316,1701,52,109538,34.75,Smartphone,1076,2932,12645,35568,181.28
165,Nykaa,Influencer_61,Instagram,689801,12-03-2025,Video,5631,1571,292,183980,4.07,Shoes,2060,3889,10751,9160,-14.8
166,Mamaearth,Influencer_28,TikTok,280537,10-01-2025,Post,36884,932,3717,45634,91.01,Smartphone,2743,5474,1456,34425,2264.35
167,Samsung,Influencer_1,TikTok,795025,02-04-2025,Story,37971,602,1320,139029,28.69,Protein,4152,5066,2352,8497,261.27
168,Samsung,Influencer_65,TikTok,306313,19-06-2025,Reel,34080,309,2158,103323,35.37,Shoes,4106,5789,14387,7984,-44.51
169,Samsung,Influencer_50,TikTok,753489,29-01-2025,Reel,33446,889,2418,28390,129.46,Watch,3761,4079,16874,44124,161.49
170,Mamaearth,Influencer_32,YouTube,878552,22-03-2025,Post,22623,1239,1900,91853,28.05,Protein,3632,3933,8137,30713,277.45
171,Nykaa,Influencer_105,Instagram,454735,27-02-2025,Post,43582,207,3424,189831,24.87,Shoes,3959,6201,13336,48652,264.82
172,Samsung,Influencer_15,YouTube,639270,22-06-2025,Post,3535,278,31,170782,2.25,Smartphone,3104,4218,15491,16046,3.58
173,Boat,Influencer_72,TikTok,542186,02-06-2025,Post,12661,192,1559,108232,13.32,Cosmetics,4728,6133,3198,5237,63.76
174,Boat,Influencer_44,TikTok,202910,25-03-2025,Story,32943,1958,1222,181957,19.85,Smartphone,4492,5003,10232,43771,327.79
175,Adidas,Influencer_60,YouTube,120405,15-03-2025,Reel,7567,1278,1062,118234,8.38,Headphones,1825,4223,10824,21821,101.6
176,Nykaa,Influencer_102,Instagram,497911,11-06-2025,Post,37452,1542,2817,187868,22.26,Shoes,2733,5190,3083,46349,1403.37
177,Boat,Influencer_28,YouTube,451316,08-04-2025,Post,33901,526,4663,66193,59.05,Watch,3958,6431,18996,16145,-15.01
178,Nykaa,Influencer_60,YouTube,506866,25-02-2025,Reel,2135,1415,1938,79098,6.94,Smartphone,3312,4197,19126,13596,-28.91
179,Samsung,Influencer_41,TikTok,756949,08-03-2025,Video,13177,1185,3999,78649,23.35,Cosmetics,4518,7041,11363,24374,114.5
180,Adidas,Influencer_107,Instagram,646490,09-03-2025,Video,24234,1392,2800,167367,16.98,Cosmetics,4891,6180,17292,33330,92.75
181,Nike,Influencer_31,YouTube,553556,31-03-2025,Story,45394,416,1651,99812,47.55,Shoes,1315,2955,16885,41796,147.53
182,Samsung,Influencer_81,YouTube,813559,14-06-2025,Post,44724,1828,1747,96087,50.27,Cosmetics,2018,4918,10373,41733,302.32
183,Samsung,Influencer_9,Instagram,730511,16-01-2025,Video,49928,1820,1831,196965,27.2,Cosmetics,4732,5192,16386,39126,138.78
184,Adidas,Influencer_41,Instagram,505775,25-06-2025,Reel,11745,616,2053,58087,24.81,Smartphone,1360,3838,5786,45563,687.47
185,Mamaearth,Influencer_63,Instagram,162908,19-02-2025,Video,17369,243,2528,90354,22.29,Shoes,3545,5908,17040,7732,-54.62
186,Boat,Influencer_94,TikTok,531420,13-02-2025,Post,14126,1578,1097,76611,21.93,Protein,4057,5513,15174,27276,79.75
187,Nykaa,Influencer_5,TikTok,420514,10-03-2025,Reel,26190,494,595,82737,32.97,Protein,1069,2015,7002,47751,581.96
188,Nykaa,Influencer_73,TikTok,885207,03-04-2025,Story,42138,1833,2120,97551,47.25,Protein,3791,4348,17920,47410,164.56
189,Nykaa,Influencer_39,Instagram,711094,14-04-2025,Reel,8685,1236,4523,178151,8.11,Cosmetics,2546,5181,13382,26902,101.03
190,Samsung,Influencer_1,YouTube,961095,30-05-2025,Story,7428,1005,2710,130120,8.56,Watch,1768,4360,15799,19888,25.88
191,Mamaearth,Influencer_27,Instagram,451922,29-05-2025,Post,27107,842,3007,43403,71.32,Cosmetics,1758,2813,11398,36606,221.16
192,Nykaa,Influencer_48,Instagram,516051,12-02-2025,Post,4555,672,2985,47634,17.24,Smartphone,2282,4384,8545,34973,309.28
193,Boat,Influencer_62,YouTube,759632,21-04-2025,Story,38185,868,4198,45438,95.19,Headphones,4036,5481,3347,28838,761.61
194,Nike,Influencer_94,Instagram,209369,02-01-2025,Story,16590,981,1680,124301,15.49,Protein,4045,6447,10381,39384,279.39
195,Mamaearth,Influencer_85,TikTok,296803,16-03-2025,Post,48788,1737,3481,179621,30.07,Shoes,4211,5235,7564,44160,483.82
196,Boat,Influencer_10,TikTok,777203,07-03-2025,Video,23792,673,4276,76341,37.65,Headphones,2702,3603,17755,33798,90.36
197,Nykaa,Influencer_42,YouTube,592743,30-03-2025,Reel,2534,1862,698,193549,2.63,Cosmetics,2537,2831,6376,18268,186.51
198,Boat,Influencer_24,Instagram,936652,02-03-2025,Post,1226,1935,4402,16229,46.6,Watch,2471,4967,9932,36169,264.17
